sample	depth	pc_genome	combination	density
DC3-1000	90	0.300188	DC3	1000
DC4-100	90	0.241356	DC4	100
DC4-10000	90	0.535212	DC4	10000
DC4-10	90	0.068301	DC4	10
DC4-1000	90	0.329865	DC4	1000
DC5-100	90	0.151278	DC5	100
DC5-10000	90	0.47729099999999997	DC5	10000
DC5-10	90	0.033128	DC5	10
DC5-1000	90	0.246813	DC5	1000
QC1-100	90	0.198236	QC1	100
QC1-10000	90	0.396556	QC1	10000
QC1-10	90	0.000144	QC1	10
QC1-1000	90	0.318804	QC1	1000
QC2-100	90	0.22601100000000002	QC2	100
QC2-10000	90	0.517798	QC2	10000
QC2-10	90	3.1e-05	QC2	10
QC2-1000	90	0.388401	QC2	1000
TC1-100	90	0.191	TC1	100
TC1-10000	90	0.48898800000000003	TC1	10000
TC1-10	90	0.09764400000000001	TC1	10
TC1-1000	90	0.340773	TC1	1000
TC2-100	90	0.255958	TC2	100
TC2-10000	90	0.490158	TC2	10000
TC2-10	90	0.010565999999999999	TC2	10
TC2-1000	90	0.37385799999999997	TC2	1000
TC5-100	90	0.159532	TC5	100
TC5-10000	90	0.48542299999999994	TC5	10000
TC5-10	90	0.08251599999999999	TC5	10
TC5-1000	90	0.314381	TC5	1000
7C1-100	100	0.051168	7C1	100
7C1-10000	100	0.43151000000000006	7C1	10000
7C1-10	100	2.8999999999999997e-05	7C1	10
7C1-1000	100	0.35473299999999997	7C1	1000
DC3-100	100	0.066136	DC3	100
DC3-10000	100	0.480458	DC3	10000
DC3-10	100	0.078114	DC3	10
DC3-1000	100	0.272953	DC3	1000
DC4-100	100	0.223874	DC4	100
DC4-10000	100	0.5021899999999999	DC4	10000
DC4-10	100	0.06385199999999999	DC4	10
DC4-1000	100	0.303228	DC4	1000
DC5-100	100	0.136822	DC5	100
DC5-10000	100	0.44210299999999997	DC5	10000
DC5-10	100	0.030476	DC5	10
DC5-1000	100	0.226204	DC5	1000
QC1-100	100	0.18376199999999998	QC1	100
QC1-10000	100	0.36398600000000003	QC1	10000
QC1-10	100	0.000127	QC1	10
QC1-1000	100	0.293179	QC1	1000
QC2-100	100	0.210531	QC2	100
QC2-10000	100	0.48253	QC2	10000
QC2-10	100	2.9999999999999997e-05	QC2	10
QC2-1000	100	0.35791	QC2	1000
TC1-100	100	0.177427	TC1	100
TC1-10000	100	0.45506899999999995	TC1	10000
TC1-10	100	0.09158999999999999	TC1	10
TC1-1000	100	0.314716	TC1	1000
TC2-100	100	0.239722	TC2	100
TC2-10000	100	0.456717	TC2	10000
TC2-10	100	0.009439	TC2	10
TC2-1000	100	0.348011	TC2	1000
TC5-100	100	0.14674	TC5	100
TC5-10000	100	0.453068	TC5	10000
TC5-10	100	0.076432	TC5	10
TC5-1000	100	0.28668499999999997	TC5	1000
